Product Name,Price,Product Image,Description,Reviews,Product Link
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)","₹35,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/i/n/-original-imagzhspjy5g8nh3.jpeg?q=70,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.6,https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-luxe-lavender-256-gb/p/itm3281f9ac32d1a?pid=MOBGXFXY2SBHGSVN&lid=LSTMOBGXFXY2SBHGSVNUNNNTJ&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGXFXY2SBHGSVN.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Apple iPhone 12 (Black, 64 GB)","₹38,999",https://rukminim2.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70,"64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.3,https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VPQTNJSG&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBFWBYZU5FWK2VP.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Google Pixel 7 (Snow, 128 GB)","₹37,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/x/9/-original-imaggsudg5fufyte.jpeg?q=70,8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 ProcessorNA,4.5,https://www.flipkart.com/google-pixel-7-snow-128-gb/p/itm45d75002be0e7?pid=MOBGHW44PRZ8WP2M&lid=LSTMOBGHW44PRZ8WP2MLRJNPZ&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGHW44PRZ8WP2M.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"OnePlus 12R (Cool Blue, 256 GB)","₹36,979",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/n/h/12r-cool-blue-8gb-ram-256gb-storage-cph2585-oneplus-original-imagz7zyfbbpmgh9.jpeg?q=70,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase",4.3,https://www.flipkart.com/oneplus-12r-cool-blue-256-gb/p/itm6a961ae6faa85?pid=MOBGZ7ZYKWVYY2YE&lid=LSTMOBGZ7ZYKWVYY2YEOTMFEI&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGZ7ZYKWVYY2YE.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Google Pixel 7 (Lemongrass, 128 GB)","₹37,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/2/y/-original-imaggswcffkgcupp.jpeg?q=70,8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 Processor1 Year warranty,4.3,https://www.flipkart.com/google-pixel-7-lemongrass-128-gb/p/itm45d75002be0e7?pid=MOBGHW44ZSN5EPGU&lid=LSTMOBGHW44ZSN5EPGURSVVHV&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGHW44ZSN5EPGU.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy S21 FE 5G (Graphite, 128 GB)","₹39,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/o/r/-original-imagu4haetzha9bj.jpeg?q=70,8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.4,https://www.flipkart.com/samsung-galaxy-s21-fe-5g-graphite-128-gb/p/itm7be0f72fff180?pid=MOBGBPFZSPRG8GSU&lid=LSTMOBGBPFZSPRG8GSUQRST90&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGBPFZSPRG8GSU.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"Motorola Edge 50 Pro 5G with 125W Charger (Black Beauty, 256 GB)","₹35,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/i/v/-original-imagzhspm6zvfaeh.jpeg?q=70,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.3,https://www.flipkart.com/motorola-edge-50-pro-5g-125w-charger-black-beauty-256-gb/p/itmf7f6e88ef68e8?pid=MOBGXFXYMH8CGDMM&lid=LSTMOBGXFXYMH8CGDMMTODP5W&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGXFXYMH8CGDMM.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"OPPO Reno11 Pro 5G (Pearl White, 256 GB)","₹37,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/v/2/-original-imagwxvryg2hzd9n.jpeg?q=70,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 32MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,https://www.flipkart.com/oppo-reno11-pro-5g-pearl-white-256-gb/p/itm41ee989232c22?pid=MOBGWU4CKMHF7HXK&lid=LSTMOBGWU4CKMHF7HXKR72WTX&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGWU4CKMHF7HXK.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"SAMSUNG Galaxy Z Flip3 5G (Cream, 128 GB)","₹39,999",https://rukminim2.flixcart.com/image/312/312/ksnjp8w0/mobile/w/u/8/galaxy-z-flip3-5g-sm-f711bzeeinu-samsung-original-imag662adrayy6cg.jpeg?q=70,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3300 mAh Lithium-ion BatteryQualcomm Snapdragon 888 Octa-Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories,4.5,https://www.flipkart.com/samsung-galaxy-z-flip3-5g-cream-128-gb/p/itmf84b792824408?pid=MOBG6YQHHB84XVGN&lid=LSTMOBG6YQHHB84XVGNXUIVZP&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBG6YQHHB84XVGN.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
"OnePlus 12R (Iron Gray, 256 GB)","₹37,615",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/g/5/-original-imagy5wfgskkgz4t.jpeg?q=70,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase",4.3,https://www.flipkart.com/oneplus-12r-iron-gray-256-gb/p/itm347349f7db2f2?pid=MOBGZ8RSPHZWR22T&lid=LSTMOBGZ8RSPHZWR22TEGUQYX&marketplace=FLIPKART&q=mobiles+under+40K&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=6b327d16-87a0-4d16-ba85-01683a75b492.MOBGZ8RSPHZWR22T.SEARCH&ppt=None&ppn=None&ssid=6cn4kz33ow0000001722676565385&qH=3b335b124e5f7f1c
